year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
2010,Copenhagen,7.54,9.70,7.8997318007662835,8.3457471264367816
2011,Copenhagen,9.31,9.52,7.9051145038167939,8.3502290076335878
2012,Copenhagen,8.70,9.51,7.9081368821292776,8.3546387832699620
2013,Copenhagen,8.81,9.61,7.9115530303030303,8.3593939393939394
1857,Johannesburg,14.25,7.76,14.2500000000000000,7.7600000000000000
1858,Johannesburg,14.55,8.10,14.4000000000000000,7.9300000000000000
1859,Johannesburg,14.62,8.25,14.4733333333333333,8.0366666666666667
1860,Johannesburg,14.75,7.96,14.5425000000000000,8.0175000000000000
1861,Johannesburg,14.57,7.85,14.5480000000000000,7.9840000000000000
1862,Johannesburg,14.17,7.56,14.4850000000000000,7.9133333333333333
1863,Johannesburg,14.58,8.11,14.4985714285714286,7.9414285714285714
1864,Johannesburg,14.58,7.98,14.5087500000000000,7.9462500000000000
1865,Johannesburg,14.91,8.18,14.5533333333333333,7.9722222222222222
1866,Johannesburg,14.83,8.29,14.5810000000000000,8.0040000000000000
1867,Johannesburg,14.92,8.44,14.6118181818181818,8.0436363636363636
1868,Johannesburg,14.58,8.25,14.6091666666666667,8.0608333333333333
1869,Johannesburg,14.92,8.43,14.6330769230769231,8.0892307692307692
1870,Johannesburg,14.60,8.20,14.6307142857142857,8.0971428571428571
1871,Johannesburg,14.70,8.12,14.6353333333333333,8.0986666666666667
1872,Johannesburg,14.70,8.19,14.6393750000000000,8.1043750000000000
1873,Johannesburg,13.91,8.35,14.5964705882352941,8.1188235294117647
1874,Johannesburg,14.72,8.43,14.6033333333333333,8.1361111111111111
1875,Johannesburg,14.45,7.86,14.5952631578947368,8.1215789473684211
1876,Johannesburg,14.45,8.08,14.5880000000000000,8.1195000000000000
1877,Johannesburg,14.93,8.54,14.6042857142857143,8.1395238095238095
1878,Johannesburg,14.85,8.83,14.6154545454545455,8.1709090909090909
1879,Johannesburg,14.37,8.17,14.6047826086956522,8.1708695652173913
1880,Johannesburg,15.00,8.12,14.6212500000000000,8.1687500000000000
1881,Johannesburg,14.67,8.27,14.6232000000000000,8.1728000000000000
1882,Johannesburg,14.47,8.13,14.6173076923076923,8.1711538461538462
1883,Johannesburg,14.69,7.98,14.6200000000000000,8.1640740740740741
1884,Johannesburg,14.38,7.77,14.6114285714285714,8.1500000000000000
1885,Johannesburg,14.76,7.92,14.6165517241379310,8.1420689655172414
1886,Johannesburg,14.88,7.95,14.6253333333333333,8.1356666666666667
1887,Johannesburg,14.44,7.91,14.6193548387096774,8.1283870967741935
1888,Johannesburg,14.79,8.09,14.6246875000000000,8.1271875000000000
1889,Johannesburg,15.23,8.32,14.6430303030303030,8.1330303030303030
1890,Johannesburg,14.67,7.97,14.6438235294117647,8.1282352941176471
1891,Johannesburg,14.73,8.02,14.6462857142857143,8.1251428571428571
1892,Johannesburg,14.78,8.07,14.6500000000000000,8.1236111111111111
