year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1896,Chicago,10.39,8.21,9.6756666666666667,8.0607482993197279
1897,Chicago,10.05,8.29,9.6781456953642384,8.0622972972972973
1898,Chicago,10.24,8.18,9.6818421052631579,8.0630872483221477
1899,Chicago,10.12,8.40,9.6847058823529412,8.0653333333333333
1900,Chicago,10.63,8.50,9.6908441558441558,8.0682119205298013
1901,Chicago,9.87,8.54,9.6920000000000000,8.0713157894736842
1902,Chicago,10.04,8.30,9.6942307692307692,8.0728104575163399
1903,Chicago,9.57,8.22,9.6934394904458599,8.0737662337662338
1904,Chicago,8.56,8.09,9.6862658227848101,8.0738709677419355
1905,Chicago,9.42,8.23,9.6845911949685535,8.0748717948717949
1906,Chicago,10.56,8.38,9.6900625000000000,8.0768152866242038
1907,Chicago,9.32,7.95,9.6877639751552795,8.0760126582278481
1908,Chicago,10.68,8.19,9.6938888888888889,8.0767295597484277
1909,Chicago,9.89,8.18,9.6950920245398773,8.0773750000000000
1910,Chicago,10.20,8.22,9.6981707317073171,8.0782608695652174
1911,Chicago,10.87,8.18,9.7052727272727273,8.0788888888888889
1912,Chicago,8.95,8.17,9.7007228915662651,8.0794478527607362
1913,Chicago,10.83,8.30,9.7074850299401198,8.0807926829268293
1914,Chicago,10.20,8.59,9.7104166666666667,8.0838787878787879
1915,Chicago,9.98,8.59,9.7120118343195266,8.0869277108433735
1916,Chicago,9.84,8.23,9.7127647058823529,8.0877844311377246
1917,Chicago,8.06,8.02,9.7030994152046784,8.0873809523809524
1918,Chicago,10.06,8.13,9.7051744186046512,8.0876331360946746
1919,Chicago,10.64,8.38,9.7105780346820809,8.0893529411764706
1920,Chicago,9.83,8.36,9.7112643678160920,8.0909356725146199
1921,Chicago,12.28,8.57,9.7259428571428571,8.0937209302325581
1922,Chicago,10.92,8.41,9.7327272727272727,8.0955491329479769
1923,Chicago,10.12,8.42,9.7349152542372881,8.0974137931034483
1924,Chicago,8.77,8.51,9.7294943820224719,8.0997714285714286
1925,Chicago,9.93,8.53,9.7306145251396648,8.1022159090909091
1926,Chicago,9.12,8.73,9.7272222222222222,8.1057627118644068
1927,Chicago,10.54,8.52,9.7317127071823204,8.1080898876404494
1928,Chicago,10.21,8.63,9.7343406593406593,8.1110055865921788
1929,Chicago,9.28,8.24,9.7318579234972678,8.1117222222222222
1930,Chicago,10.79,8.63,9.7376086956521739,8.1145856353591160
1931,Chicago,12.39,8.72,9.7519459459459459,8.1179120879120879
1932,Chicago,10.61,8.71,9.7565591397849462,8.1211475409836066
1933,Chicago,11.09,8.34,9.7636898395721925,8.1223369565217391
1934,Chicago,10.87,8.63,9.7695744680851064,8.1250810810810811
1935,Chicago,10.01,8.52,9.7708465608465608,8.1272043010752688
1936,Chicago,9.86,8.55,9.7713157894736842,8.1294652406417112
1937,Chicago,9.99,8.70,9.7724607329842932,8.1325000000000000
1938,Chicago,11.40,8.86,9.7809375000000000,8.1363492063492063
1939,Chicago,11.35,8.76,9.7890673575129534,8.1396315789473684
1940,Chicago,9.67,8.76,9.7884536082474227,8.1428795811518325
1941,Chicago,11.41,8.77,9.7967692307692308,8.1461458333333333
1942,Chicago,10.41,8.73,9.7998979591836735,8.1491709844559585
1943,Chicago,9.72,8.76,9.7994923857868020,8.1523195876288660
1944,Chicago,10.82,8.85,9.8046464646464646,8.1558974358974359
1945,Chicago,9.96,8.58,9.8054271356783920,8.1580612244897959
1946,Chicago,11.40,8.68,9.8134000000000000,8.1607106598984772
1947,Chicago,10.22,8.80,9.8154228855721393,8.1639393939393939
1948,Chicago,10.41,8.75,9.8183663366336634,8.1668844221105528
1949,Chicago,11.18,8.59,9.8250738916256158,8.1690000000000000
1950,Chicago,9.43,8.37,9.8231372549019608,8.1700000000000000
1951,Chicago,9.42,8.63,9.8211707317073171,8.1722772277227723
1952,Chicago,10.91,8.64,9.8264563106796117,8.1745812807881773
1953,Chicago,11.67,8.87,9.8353623188405797,8.1779901960784314
1954,Chicago,11.11,8.56,9.8414903846153846,8.1798536585365854
1955,Chicago,11.01,8.63,9.8470813397129187,8.1820388349514563
1956,Chicago,10.72,8.28,9.8512380952380952,8.1825120772946860
1957,Chicago,10.42,8.73,9.8539336492890995,8.1851442307692308
1958,Chicago,9.90,8.77,9.8541509433962264,8.1879425837320574
1959,Chicago,10.43,8.73,9.8568544600938967,8.1905238095238095
1960,Chicago,10.11,8.58,9.8580373831775701,8.1923696682464455
1961,Chicago,10.58,8.80,9.8613953488372093,8.1952358490566038
1962,Chicago,9.99,8.75,9.8619907407407407,8.1978403755868545
1963,Chicago,9.89,8.86,9.8621198156682028,8.2009345794392523
1964,Chicago,11.06,8.41,9.8676146788990826,8.2019069767441860
1965,Chicago,10.34,8.53,9.8697716894977169,8.2034259259259259
1966,Chicago,10.05,8.60,9.8705909090909091,8.2052534562211982
1967,Chicago,9.84,8.70,9.8704524886877828,8.2075229357798165
1968,Chicago,10.66,8.52,9.8740090090090090,8.2089497716894977
1969,Chicago,10.03,8.60,9.8747085201793722,8.2107272727272727
1970,Chicago,10.34,8.70,9.8767857142857143,8.2129411764705882
1971,Chicago,10.58,8.60,9.8799111111111111,8.2146846846846847
1972,Chicago,9.39,8.50,9.8777433628318584,8.2159641255605381
1973,Chicago,11.55,8.95,9.8851101321585903,8.2192410714285714
1974,Chicago,10.35,8.47,9.8871491228070175,8.2203555555555556
1975,Chicago,10.82,8.74,9.8912227074235808,8.2226548672566372
1976,Chicago,9.79,8.35,9.8907826086956522,8.2232158590308370
1977,Chicago,10.46,8.85,9.8932467532467532,8.2259649122807018
1978,Chicago,9.46,8.69,9.8913793103448276,8.2279912663755459
1979,Chicago,9.37,8.73,9.8891416309012876,8.2301739130434783
1980,Chicago,10.05,8.98,9.8898290598290598,8.2334199134199134
1981,Chicago,10.54,9.17,9.8925957446808511,8.2374568965517241
1982,Chicago,9.99,8.64,9.8930084745762712,8.2391845493562232
1983,Chicago,10.94,9.03,9.8974261603375527,8.2425641025641026
1984,Chicago,10.66,8.69,9.9006302521008403,8.2444680851063830
1985,Chicago,10.11,8.66,9.9015062761506276,8.2462288135593220
1986,Chicago,10.82,8.83,9.9053333333333333,8.2486919831223629
1987,Chicago,12.04,8.99,9.9141908713692946,8.2518067226890756
1988,Chicago,10.86,9.20,9.9180991735537190,8.2557740585774059
1989,Chicago,9.80,8.92,9.9176131687242798,8.2585416666666667
1990,Chicago,11.50,9.23,9.9240983606557377,8.2625726141078838
1991,Chicago,11.58,9.18,9.9308571428571429,8.2663636363636364
1992,Chicago,10.24,8.84,9.9321138211382114,8.2687242798353909
1993,Chicago,10.18,8.87,9.9331174089068826,8.2711885245901639
1994,Chicago,10.56,9.04,9.9356451612903226,8.2743265306122449
1995,Chicago,10.57,9.35,9.9381927710843373,8.2786991869918699
1996,Chicago,9.56,9.04,9.9366800000000000,8.2817813765182186
1997,Chicago,10.14,9.20,9.9374900398406375,8.2854838709677419
1998,Chicago,12.81,9.52,9.9488888888888889,8.2904417670682731
1999,Chicago,11.72,9.29,9.9558893280632411,8.2944400000000000
2000,Chicago,11.09,9.20,9.9603543307086614,8.2980478087649402
2001,Chicago,11.70,9.41,9.9671764705882353,8.3024603174603175
2002,Chicago,11.53,9.57,9.9732812500000000,8.3074703557312253
2003,Chicago,10.48,9.53,9.9752529182879377,8.3122834645669291
2004,Chicago,10.94,9.32,9.9789922480620155,8.3162352941176471
2005,Chicago,11.58,9.70,9.9851737451737452,8.3216406250000000
2006,Chicago,11.87,9.53,9.9924230769230769,8.3263424124513619
2007,Chicago,11.45,9.73,9.9980076628352490,8.3317829457364341
2008,Chicago,10.24,9.43,9.9989312977099237,8.3360231660231660
2009,Chicago,10.30,9.51,10.0000760456273764,8.3405384615384615
2010,Chicago,11.82,9.70,10.0069696969696970,8.3457471264367816
2011,Chicago,11.21,9.52,10.0115094339622642,8.3502290076335878
2012,Chicago,12.82,9.51,10.0220676691729323,8.3546387832699620
2013,Chicago,11.59,9.61,10.0279400749063670,8.3593939393939394
